Season,Team,Player,Position
2000/01,Newcastle,Des Hamilton,Right Midfield
2000/01,Newcastle,Didier Domi,Left-Back
2000/01,Newcastle,Diego Gavilán,Central Midfield
2000/01,Newcastle,Gary Caldwell,Centre-Back
2000/01,Newcastle,Gary Speed,Central Midfield
2000/01,Newcastle,James Coppinger,Right Midfield
2000/01,Newcastle,Jamie McClen,Central Midfield
2000/01,Newcastle,John Karelse,Goalkeeper
2000/01,Newcastle,Jonny Brain,Goalkeeper
2000/01,Newcastle,Kevin Gallacher,Right Winger
2000/01,Newcastle,Kieron Dyer,Right Midfield
2000/01,Newcastle,Laurent Charvet,Right-Back
2000/01,Newcastle,Lomana LuaLua,Centre-Forward
2000/01,Newcastle,Marcelino,Centre-Back
2000/01,Newcastle,Nikolaos Dabizas,Centre-Back
2000/01,Newcastle,Nolberto Solano,Right Midfield
2000/01,Newcastle,Olivier Bernard,Left-Back
2000/01,Newcastle,Pablo Bonvín,Centre-Forward
2000/01,Newcastle,Rob Lee,Central Midfield
2000/01,Newcastle,Shay Given,Goalkeeper
2000/01,Newcastle,Shola Ameobi,Centre-Forward
2000/01,Newcastle,Stephen Glass,Left Midfield
2000/01,Newcastle,Steve Harper,Goalkeeper
2000/01,Newcastle,Steve Istead,Midfielder
2000/01,Newcastle,Steven Caldwell,Centre-Back
2000/01,Newcastle,Warren Barton,Right-Back
2000/01,Newcastle,Wayne Quinn,Left-Back
2000/01,Southampton,Adrián Cáceres,Central Midfield
2000/01,Southampton,Chris Marsden,Central Midfield
2000/01,Southampton,Chris Sharpe,Goalkeeper
2000/01,Southampton,Claus Lundekvam,Centre-Back
2000/01,Southampton,Cléber Chalá,Left Winger
2000/01,Southampton,Dan Petrescu,Right-Back
2000/01,Southampton,Dani Rodrigues,Left Winger
2000/01,Southampton,Dean Richards,Centre-Back
2000/01,Southampton,Francis Benali,Left-Back
2000/01,Southampton,Garry Monk,Centre-Back
2000/01,Southampton,Hassan Kachloul,Left Midfield
2000/01,Southampton,Imants Bleidelis,Right Midfield
2000/01,Southampton,James Beattie,Centre-Forward
2000/01,Southampton,Jason Dodd,Right-Back
2000/01,Southampton,Jo Tessem,Central Midfield
2000/01,Southampton,John Beresford,Left-Back
2000/01,Southampton,Kevin Davies,Centre-Forward
2000/01,Southampton,Kevin Gibbens,Central Midfield
2000/01,Southampton,Marians Pahars,Centre-Forward
2000/01,Southampton,Mark Draper,Central Midfield
2000/01,Southampton,Matt Le Tissier,Attacking Midfield
2000/01,Southampton,Matt Oakley,Central Midfield
2000/01,Southampton,Neil Moss,Goalkeeper
2000/01,Southampton,Paul Jones,Goalkeeper
2000/01,Southampton,Scott Bevan,Goalkeeper
2000/01,Southampton,Scott McDonald,Centre-Forward
2000/01,Southampton,Stuart Ripley,Right Midfield
2000/01,Southampton,Tahar El Khalej,Centre-Back
2000/01,Southampton,Trond Soltvedt,Attacking Midfield
2000/01,Southampton,Uwe Rösler,Centre-Forward
2000/01,Southampton,Wayne Bridge,Left-Back
2000/01,Sunderland,Alex Rae,Central Midfield
2000/01,Sunderland,Ben Clark,Centre-Back
2000/01,Sunderland,Brendan McGill,Right Winger
2000/01,Sunderland,Carsten Fredgaard,Left Midfield
2000/01,Sunderland,Chris Lumsdon,Central Midfield
2000/01,Sunderland,Chris Makin,Left-Back
2000/01,Sunderland,Danny Dichio,Centre-Forward
2000/01,Sunderland,Darren Holloway,Right-Back
2000/01,Sunderland,Darren Williams,Right-Back
2000/01,Sunderland,Don Hutchison,Attacking Midfield
2000/01,Sunderland,Gavin McCann,Central Midfield
2000/01,Sunderland,George McCartney,Left-Back
2000/01,Sunderland,Jody Craddock,Centre-Back
2000/01,Sunderland,John Oster,Central Midfield
2000/01,Sunderland,Jonjo Dickman,Right Midfield
2000/01,Sunderland,Julio Arca,Central Midfield
2000/01,Sunderland,Jürgen Macho,Goalkeeper
2000/01,Sunderland,Kevin Kilbane,Left Midfield
2000/01,Sunderland,Kevin Kyle,Centre-Forward
2000/01,Sunderland,Kevin Phillips,Centre-Forward
2000/01,Sunderland,Michael Gray,Left-Back
2000/01,Sunderland,Michael Ingham,Goalkeeper
2000/01,Sunderland,Michael Reddy,Centre-Forward
2000/01,Sunderland,Milton Núñez,Centre-Forward
2000/01,Sunderland,Neil Wainwright,Left Winger
2000/01,Sunderland,Niall Quinn,Centre-Forward
2000/01,Sunderland,Patrice Carteron,Centre-Back
2000/01,Sunderland,Paul Butler,Centre-Back
2000/01,Sunderland,Paul Thirlwell,Defensive Midfield
2000/01,Sunderland,Stanislav Varga,Centre-Back
2000/01,Sunderland,Stefan Schwarz,Central Midfield
2000/01,Sunderland,Steve Bould,Centre-Back
2000/01,Sunderland,Thomas Butler,Right Midfield
2000/01,Sunderland,Thomas Sörensen,Goalkeeper
2000/01,Sunderland,Tom Peeters,Left Midfield
2000/01,Sunderland,Émerson Thome,Centre-Back
2000/01,Sunderland,Éric Roy,Defensive Midfield
2000/01,Tottenham,Alton Thelwell,Centre-Back
2000/01,Tottenham,Andy Booth,Centre-Forward
2000/01,Tottenham,Anthony Gardner,Centre-Back
2000/01,Tottenham,Ben Thatcher,Left-Back
2000/01,Tottenham,Chris Armstrong,Centre-Forward
2000/01,Tottenham,Chris Perry,Centre-Back
2000/01,Tottenham,Darren Anderton,Right Midfield
2000/01,Tottenham,Dave McEwen,Striker
2000/01,Tottenham,Gary Doherty,Centre-Back
2000/01,Tottenham,Gavin Kelly,Goalkeeper
2000/01,Tottenham,Hans Segers,Goalkeeper
2000/01,Tottenham,Ian Hillier,Centre-Back
2000/01,Tottenham,Ian Walker,Goalkeeper
2000/01,Tottenham,John Piercy,Midfielder
2000/01,Tottenham,Johnnie Jackson,Central Midfield
2000/01,Tottenham,Jon Jönsson,Centre-Back
2000/01,Tottenham,José Dominguez,Left Winger
2000/01,Tottenham,Ledley King,Centre-Back
2000/01,Tottenham,Les Ferdinand,Centre-Forward
2000/01,Tottenham,Luke Young,Right-Back
2000/01,Tottenham,Matthew Etherington,Left Midfield
2000/01,Tottenham,Mauricio Taricco,Left-Back
2000/01,Tottenham,Neil Sullivan,Goalkeeper
2000/01,Tottenham,Ramon Vega,Centre-Back
2000/01,Tottenham,Ruel Fox,Central Midfield
2000/01,Tottenham,Sergiy Rebrov,Second Striker
2000/01,Tottenham,Simon Davies,Right Midfield
2000/01,Tottenham,Sol Campbell,Centre-Back
2000/01,Tottenham,Steffen Freund,Defensive Midfield
2000/01,Tottenham,Steffen Iversen,Second Striker
2000/01,Tottenham,Stephen Carr,Right-Back
2000/01,Tottenham,Stephen Clemence,Central Midfield
2000/01,Tottenham,Tim Sherwood,Central Midfield
2000/01,Tottenham,Willem Korsten,Left Winger
2000/01,Tottenham,Yannick Kamanan,Centre-Forward
2000/01,Tottenham,Øyvind Leonhardsen,Central Midfield
2000/01,West Ham,Adam Newton,Right-Back
2000/01,West Ham,Alex O'Reilly,Goalkeeper
2000/01,West Ham,Christian Bassila,Centre-Back
2000/01,West Ham,Christian Dailly,Centre-Back
2000/01,West Ham,Craig Forrest,Goalkeeper
2000/01,West Ham,Darren Peacock,Centre-Back
2000/01,West Ham,Davor Suker,Centre-Forward
2000/01,West Ham,Frank Lampard,Central Midfield
2000/01,West Ham,Frédéric Kanouté,Centre-Forward
2000/01,West Ham,Gary Charles,Right-Back
2000/01,West Ham,Grant McCann,Central Midfield
2000/01,West Ham,Hannu Tihinen,Centre-Back
2000/01,West Ham,Hayden Foxe,Centre-Back
2000/01,West Ham,Ian Pearce,Centre-Back
2000/01,West Ham,Igor Stimac,Centre-Back
2000/01,West Ham,Izzy Iriekpen,Centre-Back
2000/01,West Ham,Javier Margas,Centre-Back
2000/01,West Ham,Jermain Defoe,Centre-Forward
2000/01,West Ham,Joe Cole,Attacking Midfield
2000/01,West Ham,John Moncur,Central Midfield
2000/01,West Ham,Kaba Diawara,Centre-Forward
2000/01,West Ham,Marc Keller,Centre-Forward
2000/01,West Ham,Michael Carrick,Defensive Midfield
2000/01,West Ham,Nigel Winterburn,Left-Back
2000/01,West Ham,Paolo Di Canio,Centre-Forward
2000/01,West Ham,Paul Kitson,Centre-Forward
2000/01,West Ham,Ragnvald Soma,Centre-Back
2000/01,West Ham,Richard García,Second Striker
2000/01,West Ham,Rigobert Song,Centre-Back
2000/01,West Ham,Rio Ferdinand,Centre-Back
2000/01,West Ham,Scott Minto,Left-Back
2000/01,West Ham,Shaka Hislop,Goalkeeper
2000/01,West Ham,Shaun Byrne,Left-Back
2000/01,West Ham,Stephen Bywater,Goalkeeper
2000/01,West Ham,Steve Lomas,Central Midfield
2000/01,West Ham,Steve Potts,Right-Back
2000/01,West Ham,Stevland Angus,Centre-Back
2000/01,West Ham,Stuart Pearce,Left-Back
2000/01,West Ham,Svetoslav Todorov,Centre-Forward
2000/01,West Ham,Sébastien Schemmel,Right-Back
2000/01,West Ham,Terrell Forbes,Centre-Back
2000/01,West Ham,Titi Camara,Centre-Forward
2000/01,West Ham,Trevor Sinclair,Left Winger
2000/01,West Ham,Vanni Chiarotto,Midfielder
2000/01,West Ham,Ömer Riza,Second Striker
2001/02,Arsenal,Ashley Cole,Left-Back
2001/02,Arsenal,Carlin Itonga,Striker
2001/02,Arsenal,David Seaman,Goalkeeper
2001/02,Arsenal,Dennis Bergkamp,Second Striker
2001/02,Arsenal,Edú Gaspar,Central Midfield
2001/02,Arsenal,Francis Jeffers,Centre-Forward
2001/02,Arsenal,Freddie Ljungberg,Right Midfield
2001/02,Arsenal,Gilles Grimandi,Defensive Midfield
2001/02,Arsenal,Giovanni van Bronckhorst,Left-Back
2001/02,Arsenal,Graham Stack,Goalkeeper
2001/02,Arsenal,Igors Stepanovs,Centre-Back
2001/02,Arsenal,Jermaine Pennant,Right Winger
2001/02,Arsenal,John Halls,Defensive Midfield
2001/02,Arsenal,Juan,Left-Back
2001/02,Arsenal,Junichi Inamoto,Defensive Midfield
2001/02,Arsenal,Jérémie Aliadière,Centre-Forward
2001/02,Arsenal,Kolo Touré,Centre-Back
2001/02,Arsenal,Laurén,Right-Back
2001/02,Arsenal,Lee Dixon,Right-Back
2001/02,Arsenal,Martin Keown,Centre-Back
2001/02,Arsenal,Matthew Upson,Centre-Back
2001/02,Arsenal,Moritz Volz,Right-Back
2001/02,Arsenal,Nwankwo Kanu,Centre-Forward
2001/02,Arsenal,Oleg Luzhnyi,Right-Back
2001/02,Arsenal,Patrick Vieira,Defensive Midfield
2001/02,Arsenal,Ray Parlour,Central Midfield
2001/02,Arsenal,Richard Wright,Goalkeeper
2001/02,Arsenal,Robert Pirès,Left Midfield
2001/02,Arsenal,Rohan Ricketts,Right Midfield
2001/02,Arsenal,Sebastian Svärd,Defensive Midfield
2001/02,Arsenal,Sol Campbell,Centre-Back
2001/02,Arsenal,Stathis Tavlaridis,Centre-Back
2001/02,Arsenal,Stuart Taylor,Goalkeeper
2001/02,Arsenal,Sylvain Wiltord,Second Striker
2001/02,Arsenal,Thierry Henry,Centre-Forward
2001/02,Arsenal,Tony Adams,Centre-Back
2001/02,Aston Villa,Alan Wright,Left-Back
2001/02,Aston Villa,Alpay Özalan,Centre-Back
2001/02,Aston Villa,Bosko Balaban,Centre-Forward
2001/02,Aston Villa,Darius Vassell,Centre-Forward
2001/02,Aston Villa,David Ginola,Left Winger
2001/02,Aston Villa,Dion Dublin,Centre-Forward
2001/02,Aston Villa,Gareth Barry,Defensive Midfield
2001/02,Aston Villa,George Boateng,Defensive Midfield
2001/02,Aston Villa,Hassan Kachloul,Left Midfield
2001/02,Aston Villa,Ian Taylor,Central Midfield
2001/02,Aston Villa,Jlloyd Samuel,Left-Back
2001/02,Aston Villa,Juan Pablo Ángel,Centre-Forward
2001/02,Aston Villa,Lee Hendrie,Central Midfield
2001/02,Aston Villa,Mark Delaney,Right-Back
2001/02,Aston Villa,Mustapha Hadji,Attacking Midfield
2001/02,Aston Villa,Olof Mellberg,Centre-Back
2001/02,Aston Villa,Paul Merson,Attacking Midfield
2001/02,Aston Villa,Peter Crouch,Centre-Forward
2001/02,Aston Villa,Peter Enckelman,Goalkeeper
2001/02,Aston Villa,Peter Schmeichel,Goalkeeper
2001/02,Aston Villa,Stefan Moore,Centre-Forward
2001/02,Aston Villa,Stephen Cooke,Right Midfield
2001/02,Aston Villa,Steve Staunton,Left-Back
2001/02,Aston Villa,Steve Stone,Right Midfield
2001/02,Aston Villa,Thomas Hitzlsperger,Central Midfield
2001/02,Blackburn,Alan Kelly,Goalkeeper
2001/02,Blackburn,Alan Mahon,Left Midfield
2001/02,Blackburn,Alan Miller,Goalkeeper
2001/02,Blackburn,Andy Cole,Centre-Forward
2001/02,Blackburn,Brad Friedel,Goalkeeper
2001/02,Blackburn,Corrado Grabbi,Centre-Forward
2001/02,Blackburn,Craig Hignett,Right Winger
2001/02,Blackburn,Craig Short,Centre-Back
2001/02,Blackburn,Damien Duff,Right Midfield
2001/02,Blackburn,Damien Johnson,Right Midfield
2001/02,Blackburn,Darren Dunning,Midfielder
2001/02,Blackburn,David Dunn,Attacking Midfield
2001/02,Blackburn,Egil Østenstad,Centre-Forward
2001/02,Blackburn,Garry Flitcroft,Central Midfield
2001/02,Blackburn,Gordon Greer,Centre-Back
2001/02,Blackburn,Hakan Ünsal,Left-Back
2001/02,Blackburn,Henning Berg,Right-Back
2001/02,Blackburn,Jason McAteer,Right Midfield
2001/02,Blackburn,Jeff Kenna,Right-Back
2001/02,Blackburn,John Curtis,Right-Back
2001/02,Blackburn,John Filan,Goalkeeper
2001/02,Blackburn,Jonathan Douglas,Central Midfield
2001/02,Blackburn,Keith Gillespie,Right Midfield
2001/02,Blackburn,Lucas Neill,Right-Back
2001/02,Blackburn,Marcus Bent,Centre-Forward
2001/02,Blackburn,Mark Hughes,Second Striker
2001/02,Blackburn,Marlon Broomes,Centre-Back
2001/02,Blackburn,Martin Taylor,Centre-Back
2001/02,Blackburn,Matt Jansen,Centre-Forward
2001/02,Blackburn,Nathan Blake,Centre-Forward
2001/02,Blackburn,Nils-Eric Johansson,Left-Back
2001/02,Blackburn,Stig Inge Bjørnebye,Left-Back
2001/02,Blackburn,Tugay Kerimoğlu,Defensive Midfield
2001/02,Blackburn,Yordi,Centre-Forward
2001/02,Bolton,Akinori Nishizawa,Centre-Forward
2001/02,Bolton,Alan O'Hare,Left-Back
2001/02,Bolton,Anthony Barness,Left-Back
2001/02,Bolton,Bo Hansen,Centre-Forward
2001/02,Bolton,Bruno N'Gotty,Centre-Back
2001/02,Bolton,Cleveland Taylor,Right Midfield
2001/02,Bolton,Colin Hendry,Centre-Back
2001/02,Bolton,David Norris,Central Midfield
2001/02,Bolton,Dean Holden,Centre-Back
2001/02,Bolton,Dean Holdsworth,Centre-Forward
2001/02,Bolton,Derek Niven,Defensive Midfield
2001/02,Bolton,Djibril Diawara,Centre-Back
2001/02,Bolton,Emanuele Morini,Right Winger
2001/02,Bolton,Fredi Bobic,Centre-Forward
2001/02,Bolton,Gareth Farrelly,Left Midfield
2001/02,Bolton,Gudni Bergsson,Centre-Back
2001/02,Bolton,Gérald Forschelet,Defensive Midfield
2001/02,Bolton,Henrik Pedersen,Centre-Forward
2001/02,Bolton,Ian Marshall,Centre-Back
2001/02,Bolton,Jani Viander,Goalkeeper
2001/02,Bolton,Jeff Cassar,Goalkeeper
2001/02,Bolton,Jeff Smith,Attacking Midfield
2001/02,Bolton,Jermaine Johnson,Right Winger
2001/02,Bolton,Jonathan Walters,Right Winger
2001/02,Bolton,Jussi Jääskeläinen,Goalkeeper
2001/02,Bolton,Kevin Nolan,Attacking Midfield
2001/02,Bolton,Kevin Poole,Goalkeeper
2001/02,Bolton,Konstantinos Konstantinidis,Centre-Back
2001/02,Bolton,Leam Richardson,Left-Back
2001/02,Bolton,Mario Espartero,Defensive Midfield
2001/02,Bolton,Michael Ricketts,Centre-Forward
2001/02,Bolton,Mike Whitlow,Left-Back
2001/02,Bolton,Nicky Hunt,Right-Back
2001/02,Bolton,Nicky Southall,Right Midfield
2001/02,Bolton,Paul Warhurst,Central Midfield
2001/02,Bolton,Per Frandsen,Right Midfield
2001/02,Bolton,Ricardo Gardner,Left-Back
2001/02,Bolton,Rod Wallace,Centre-Forward
2001/02,Bolton,Simon Charlton,Left-Back
2001/02,Bolton,Steve Banks,Goalkeeper
2001/02,Bolton,Stig Tøfting,Defensive Midfield
2001/02,Bolton,Wayne Buchanan,Centre-Back
2001/02,Bolton,Youri Djorkaeff,Attacking Midfield
2001/02,Charlton,Andy Todd,Centre-Back
2001/02,Charlton,Ben Roberts,Goalkeeper
2001/02,Charlton,Charlie MacDonald,Centre-Forward
2001/02,Charlton,Chris Bart-Williams,Central Midfield
2001/02,Charlton,Chris Powell,Left-Back
2001/02,Charlton,Claus Jensen,Attacking Midfield
2001/02,Charlton,Clive Mendonca,Centre-Forward
2001/02,Charlton,Danny Shittu,Centre-Back
2001/02,Charlton,Dean Kiely,Goalkeeper
2001/02,Charlton,Eddie Youds,Centre-Back
2001/02,Charlton,Gavin Peacock,Central Midfield
2001/02,Charlton,Graham Stuart,Right Winger
2001/02,Charlton,Greg Shields,Right-Back
2001/02,Charlton,Jason Euell,Left Winger
2001/02,Charlton,John Robinson,Right Winger
2001/02,Charlton,John Salako,Left Midfield
2001/02,Charlton,Jonatan Johansson,Centre-Forward
2001/02,Charlton,Jonathan Fortune,Centre-Back
2001/02,Charlton,Jorge Costa,Centre-Back
2001/02,Charlton,Kevin Lisbie,Centre-Forward
2001/02,Charlton,Luke Young,Right-Back
2001/02,Charlton,Mark Fish,Centre-Back
2001/02,Charlton,Mark Kinsella,Defensive Midfield
2001/02,Charlton,Martin Pringle,Centre-Forward
2001/02,Charlton,Mathias Svensson,Centre-Forward
2001/02,Charlton,Paul Konchesky,Left-Back
2001/02,Charlton,Radostin Kishishev,Defensive Midfield
2001/02,Charlton,Richard Rufus,Centre-Back
2001/02,Charlton,Sasa Ilic,Goalkeeper
2001/02,Charlton,Scott Parker,Central Midfield
2001/02,Charlton,Shaun Bartlett,Centre-Forward
2001/02,Charlton,Shaun Newton,Right Midfield
2001/02,Charlton,Steve Brown,Centre-Back
2001/02,Chelsea,Albert Ferrer,Right-Back
2001/02,Chelsea,Boudewijn Zenden,Left Winger
2001/02,Chelsea,Carlo Cudicini,Goalkeeper
2001/02,Chelsea,Carlton Cole,Centre-Forward
2001/02,Chelsea,Celestine Babayaro,Left-Back
2001/02,Chelsea,Danny Slatter,Midfielder
2001/02,Chelsea,Ed de Goey,Goalkeeper
2001/02,Chelsea,Eidur Gudjohnsen,Centre-Forward
2001/02,Chelsea,Emmanuel Petit,Defensive Midfield
2001/02,Chelsea,Frank Lampard,Central Midfield
2001/02,Chelsea,Gabriele Ambrosetti,Left Midfield
2001/02,Chelsea,Gianfranco Zola,Second Striker
2001/02,Chelsea,Graeme Le Saux,Left-Back
2001/02,Chelsea,Jesper Grønkjær,Left Winger
2001/02,Chelsea,Jimmy Floyd Hasselbaink,Centre-Forward
2001/02,Chelsea,Jody Morris,Central Midfield
2001/02,Chelsea,Joe Keenan,Left-Back
2001/02,Chelsea,Joel Kitamirike,Centre-Back
2001/02,Chelsea,John Terry,Centre-Back
2001/02,Chelsea,Jon Harley,Left-Back
2001/02,Chelsea,Leon Knight,Centre-Forward
2001/02,Chelsea,Marcel Desailly,Centre-Back
2001/02,Chelsea,Mario Melchiot,Right-Back
2001/02,Chelsea,Mario Stanic,Right Winger
2001/02,Chelsea,Mark Bosnich,Goalkeeper
2001/02,Chelsea,Mikael Forssell,Centre-Forward
2001/02,Chelsea,Pat Baldwin,Centre-Back
2001/02,Chelsea,Rati Aleksidze,Centre-Forward
2001/02,Chelsea,Rhys Evans,Goalkeeper
2001/02,Chelsea,Robert Huth,Centre-Back
2001/02,Chelsea,Roberto Di Matteo,Central Midfield
2001/02,Chelsea,Samuele Dalla Bona,Central Midfield
2001/02,Chelsea,Slavisa Jokanovic,Defensive Midfield
2001/02,Chelsea,Valerio Di Cesare,Centre-Back
2001/02,Chelsea,William Gallas,Centre-Back
2001/02,Chelsea,Winston Bogarde,Centre-Back
2001/02,Derby,Adam Bolder,Midfielder
2001/02,Derby,Adam Murray,Central Midfield
2001/02,Derby,Andy Oakes,Goalkeeper
2001/02,Derby,Benny Carbone,Second Striker
2001/02,Derby,Bjørn Otto Bragstad,Centre-Back
2001/02,Derby,Branko Strupar,Centre-Forward
2001/02,Derby,Brian O'Neil,Centre-Back
2001/02,Derby,Chris Riggott,Centre-Back
2001/02,Derby,Con Blatsis,Centre-Back
2001/02,Derby,Craig Burley,Attacking Midfield
2001/02,Derby,Daniele Daino,Right-Back
2001/02,Derby,Danny Higginbotham,Centre-Back
2001/02,Derby,Darryl Powell,Centre-Back
2001/02,Derby,Deon Burton,Centre-Forward
2001/02,Derby,Fabrizio Ravanelli,Centre-Forward
2001/02,Derby,François Grenet,Right-Back
2001/02,Derby,Gareth McKeown,Centre-Back
2001/02,Derby,Gary Twigg,Centre-Forward
2001/02,Derby,Giorgi Kinkladze,Attacking Midfield
2001/02,Derby,Horacio Carbonari,Centre-Back
2001/02,Derby,Ian Evatt,Centre-Back
2001/02,Derby,Ian Feuer,Goalkeeper
2001/02,Derby,Lee Grant,Goalkeeper
2001/02,Derby,Lee Morris,Centre-Forward
2001/02,Derby,Lewis Hunt,Right-Back
2001/02,Derby,Luciano Zavagno,Left-Back
2001/02,Derby,Malcolm Christie,Centre-Forward
2001/02,Derby,Marcus Tudgay,Centre-Forward
2001/02,Derby,Mart Poom,Goalkeeper
2001/02,Derby,Marvin Robinson,Centre-Forward
2001/02,Derby,Patrick Foletti,Goalkeeper
2001/02,Derby,Paul Boertien,Left-Back
2001/02,Derby,Pierre Ducrocq,Defensive Midfield
2001/02,Derby,Richard Jackson,Right-Back
2001/02,Derby,Rob Lee,Central Midfield
2001/02,Derby,Seth Johnson,Central Midfield
2001/02,Derby,Simo Valakari,Defensive Midfield
2001/02,Derby,Stefano Eranio,Right Midfield
2001/02,Derby,Steve Elliott,Centre-Back
2001/02,Derby,Warren Barton,Right-Back
2001/02,Derby,Youl Mawéné,Centre-Back
2001/02,Everton,Abel Xavier,Right-Back
2001/02,Everton,Alan Stubbs,Centre-Back
2001/02,Everton,Alec Cleland,Right-Back
2001/02,Everton,Alessandro Pistone,Left-Back
2001/02,Everton,Alex Nyarko,Central Midfield
2001/02,Everton,Andrew Pettinger,Goalkeeper
2001/02,Everton,David Ginola,Left Winger
2001/02,Everton,David Unsworth,Left-Back
2001/02,Everton,David Weir,Centre-Back
2001/02,Everton,Duncan Ferguson,Centre-Forward
2001/02,Everton,Gary Naysmith,Left-Back
2001/02,Everton,Idan Tal,Defensive Midfield
2001/02,Everton,Jesper Blomqvist,Left Midfield
2001/02,Everton,Joe-Max Moore,Centre-Forward
2001/02,Everton,Kevin Campbell,Centre-Forward
2001/02,Everton,Kevin McLeod,Left Midfield
2001/02,Everton,Lee Carsley,Defensive Midfield
2001/02,Everton,Mark Pembridge,Left Midfield
2001/02,Everton,Nick Chadwick,Centre-Forward
2001/02,Everton,Niclas Alexandersson,Right Midfield
2001/02,Everton,Paul Gascoigne,Attacking Midfield
2001/02,Everton,Paul Gerrard,Goalkeeper
2001/02,Everton,Peter Clarke,Centre-Back
2001/02,Everton,Scot Gemmill,Central Midfield
2001/02,Everton,Steve Simonsen,Goalkeeper
2001/02,Everton,Steve Watson,Right-Back
2001/02,Everton,Thomas Gravesen,Defensive Midfield
2001/02,Everton,Thomas Myhre,Goalkeeper
2001/02,Everton,Tobias Linderoth,Defensive Midfield
2001/02,Everton,Tomasz Radzinski,Centre-Forward
2001/02,Everton,Tony Hibbert,Right-Back
2001/02,Everton,Wayne Rooney,Centre-Forward
2001/02,Fulham,Abdeslam Ouaddou,Centre-Back
2001/02,Fulham,Alain Goma,Centre-Back
2001/02,Fulham,Andrejs Stolcers,Attacking Midfield
2001/02,Fulham,Andy Melville,Centre-Back
2001/02,Fulham,Barry Hayles,Centre-Forward
2001/02,Fulham,Bjarne Goldbaek,Central Midfield
2001/02,Fulham,Calum Willock,Centre-Forward
2001/02,Fulham,Chris Coleman,Centre-Back
2001/02,Fulham,Dean Leacock,Centre-Back
2001/02,Fulham,Eddie Lewis,Left Midfield
2001/02,Fulham,Edwin van der Sar,Goalkeeper
2001/02,Fulham,Elvis Hammond,Centre-Forward
2001/02,Fulham,Glyn Thompson,Goalkeeper
2001/02,Fulham,John Collins,Left Midfield
2001/02,Fulham,Jon Harley,Left-Back
2001/02,Fulham,Kevin Betsy,Left Midfield
2001/02,Fulham,Kieran McAnespie,Left-Back
